About what time?,,question
Ahchoo!,,panic
"Another beer, prease.",,question
Are there any extra charges?,,question
Are there any golf courses around here?,,question
Are there any good programs on TV?,,question
Are you awake?,,question
Are you doing anything this afternoon?,,question
Are you feeling okay?,,question
Are you feeling sick?,,bad
Are you feeling sick?,,question
Are you free this weekend?,,question
Are you gonna be late today?,,question
Are you good at singing?,,question
Are you ready for tomorrow?,,question
Are you ready?,,question
Are you taking any madication regularly?,,question
Are youy gonna be late today?,,deictic_you
Aren't you forgetting something?,,question
Can I go out to play?,,away
Can I go out to play?,,question
Can I make a reservation?,,question
Can I rent the equipment?,,question
Can you baby-sit tonight?,,question
Cheers!,,happy
Clean up your room.,,please
Coffee wakes me up.,,drink
Coffee wakes me up.,,happy
Come and get it!,,come
Could I see you again?,,question
Could you give me change?,,please
Could you give me your phone number?,,question
Could you send me a doctor?,,please
Did the alarm clock go off?,,deictic_that
Did the alarm clock go off?,,question
Did the alarm clock go off?,,quit
Did you brush your teeth?,,question
Did you do your homework?,,question
Did you eat something unusual?,,bad
Did you have a good time?,,deictic_you
Did you have a good time?,,nice
Did you have a good time?,,question
Did you lock the door?,,question
Did you sleep well?,,nice
Did you sleep well?,,question
Did you stay up late last night?,,question
Did you wash your hands well?,,question
Do the dishes!,,deictic_that
Do you dream often?,,question
Do you have any beer?,,drink
Do you have any beer?,,question
Do you have change for one thousand yen?,,please
Do you need a doctor?,,question
Do you need to pee?,,question
Do you want to join me?,,question
Don't forget to lock the door when you leave.,,deictic_that
Don't forget to take out the garabage,,away
Don't forget to take out the garabage,,deictic_you
Don't leave your stuff here.,,away
Don't leave your stuff here.,,deictic_you
Don't spill it!,,deictic_that
Drink moderately.,,quit
Eat all of your vegetables.,,away
Eat all of your vegetables.,,deictic_you
Encore!,,happy
Enough with your video games.,,deictic_you
Finish up your plate.,,away
Finish up your plate.,,deictic_you
Get up soon.,,away
Get up soon.,,deictic_you
"Go for it, Hoge!",,lets_go
Good morning.,,hello
Good night.,,goodbye
Have you got your lunch box?,,deictic_you
Have you got your lunch box?,,question
He didn't pay the debt and disappeared.,,bad
Help me clean up the house.,,come
Help me clean up the house.,,please
Help me.,,come
How about a drink?,,drink
How about a rain check?,,question
How about a rain check?,,sorry
"How about a song, John?",,question
